id,store,address,city,state,zip,country,phone,latitude,longitude
1078,COLONIAL PROMENADE ALABASTER,200 S. COLONIAL DRIVE,ALABASTER,AL,35007,US,205-564-2648,33.225937,-86.804886
330,BROOK HIGHLAND PLAZA,5201 HIGHWAY 280 SOUTH,BIRMINGHAM,AL,35242,US,205-981-1320,33.4191,-86.6857
1161,CULLMAN SHOPPING CENTER,1106 CULLMAN SHOPPING CENTER NW,CULLMAN,AL,35055,US,256-841-3534,34.181521,-86.848964
617,JUBILEE SQUARE,6850 US HIGHWAY 90,DAPHNE,AL,36526,US,251-621-0031,30.6537,-87.9069
337,DOTHAN PAVILION,4401 MONTGOMERY HWY,DOTHAN,AL,36303,US,334-671-1370,31.2649,-85.4439
4626,COX CREEK SHOPPING CENTER,"376 COX CREEK PARKWAY, SUITE A",FLORENCE,AL,35630,US,256-760-4211,34.84239399,-87.63466944
451,PATTON CREEK,4401 CREEKSIDE AVENUE,HOOVER,AL,35244,US,205-909-1400,33.3745,-86.8179
778,WESTSIDE PAVILLION,2718 CARL T. JONES DRIVE,HUNTSVILLE,AL,35802,US,256-881-3212,34.6764,-86.5482
1207,BRIDGE STREET TOWN CENTRE,6890-A GOVERNOR&#39;S DRIVE WEST,HUNTSVILLE,AL,35806,US,(256) 801-3766,34.714167,-86.676833
4609,MCGOWIN PARK,1390 TINGLE CIRCLE W B-3 SUITE A,MOBILE,AL,36606,US,251-450-1334,30.650119,-88.119356
338,EAST CHASE,7861 EASTCHASE PARKWAY,MONTGOMERY,AL,36117,US,334-277-8180,32.3631,-86.1542
702,TIGER TOWN,2718 ENTERPRISE DRIVE,OPELIKA,AL,36801,US,334-749-8123,32.6162,-85.4103
385,OXFORD EXCHANGE,1500 OXFORD EXCHANGE,OXFORD,AL,36203,US,256-831-7739,33.6093,-85.7801
1143,SHOPPES AT LEGACY PARK,"1320 MCFARLAND BLVD E, BLDG 400, SUITE 410",TUSCALOOSA,AL,35404,US,205-535-3006,33.198974,-87.527396
608,CONWAY COMMONS,620 ELSINGER BOULEVARD,CONWAY,AR,72032,US,501-336-0700,35.068,-92.4143
629,FORT SMITH PAVILION,3825 PHOENIX AVENUE,FORT SMITH,AR,72903,US,479-646-8900,35.3401,-94.3906
662,FAIRGROUND CROSSING,1420 HIGDON FERRY ROAD,HOT SPRINGS,AR,71913,US,501-624-0200,34.4696,-93.0723
1337,MCCAIN PLAZA,4188 E McCain Blvd,NORTH LITTLE ROCK,AR,72117,US,501-478-2126,34.78641062,-92.22325336
363,SAN TAN VILLAGE,2269 SAN TAN VILLAGE PARKWAY,GILBERT,AZ,85295,US,480-899-3993,33.309,-111.745
364,ARROWHEAD TOWNE CENTER,7680 WEST ARROWHEAD TOWNE CENTER,GLENDALE,AZ,85308,US,623-334-8366,33.6426,-112.224
726,ORO VALLEY MARKETPLACE,11935 NORTH ORACLE ROAD,ORO VALLEY,AZ,85737,US,520-742-0792,32.4227,-110.938
365,THE SHOPS AT NORTERRA,2350 WEST HAPPY VALLEY ROAD,PHOENIX,AZ,85085,US,623-434-3388,33.7147,-112.11
1410,E MAYO BLVD,7000 E MAYO BLVD,PHOENIX,AZ,85054,US,480-212-0260,33.658025,-111.931099
1131,PRESCOTT VALLEY CROSSROADS,5715 E. STATE ROUTE 69,PRESCOTT VALLEY,AZ,86314,US,928-776-0499,34.5751499918336,-112.362517410759
1194,SCOTTSDALE FASHION CENTER,"7014 E CAMELBACK ROAD, SUITE ANC 03",SCOTTSDALE,AZ,85251,US,480-240-4409,33.504507,-111.927584
362,EMERALD CENTER,8550 SOUTH EMERALD DRIVE,TEMPE,AZ,85284,US,480-592-0938,33.3368,-111.971
1217,WILMOT PLAZA,6327 E. BROADWAY BLVD,TUCSON,AZ,85710,US,520-203-0016,32.222244,-110.856347
697,NORTHWEST PROMENADE,9300 ROSEDALE HWY,BAKERSFIELD,CA,93312,US,661-588-8100,35.386,-119.106
1195,LOS CERRITOS CENTER,"435 LOS CERRITOS CENTER, SPACE F17",CERRITOS,CA,90703,US,562-376-9087,33.8608,-118.094
1089,CHICO MALL,1922 E 20TH STREET,CHICO,CA,95928,US,530-343-3351,39.7288,-121.8078
925,SPECTRUM MARKETPLACE,4044 GRAND AVENUE,CHINO,CA,91710,US,909-590-7626,34.0019,-117.716
1413,TERRA NOVA PLAZA,390 EAST H STREET,CHULA VISTA,CA,91910,US,619-761-5998,32.639456,-117.048107
623,CLOVIS SHOPPING CENTRE,1225 HERNDON AVENUE,CLOVIS,CA,93612,US,559-322-4628,36.8396,-119.694
1092,SERRAMONTE MALL,64 SERRAMONTE CENTER,DALY CITY,CA,94015,US,415-325-4109,37.671793,-122.472257
1071,FALLON GATEWAY,2820 DUBLIN BLVD.,DUBLIN,CA,94568,US,925-479-0680,37.703951,-121.853734
615,PARKWAY PLAZA,565 FLETCHER PARKWAY,EL CAJON,CA,92020,US,619-447-0191,32.8067,-116.968
1400,LAGUNA GATEWAY,8217 LAGUNA BLVD,ELK GROVE,CA,95758,US,916-226-1711,38.424,-121.405
924,PLAZA EL SEGUNDO,770 SOUTH SEPULVEDA BLVD.,EL SEGUNDO,CA,90245,US,310-726-9123,33.9064,-118.392
1412,ENCINITAS RANCH,1050 N. EL CAMINO REAL,ENCINITAS,CA,92024,US,760-452-4046,33.067643,-117.266592
